Alimento|Código|Categoría
Acelga|V001|
Acelga, congelada|V050|
Acelga, pencas|V073|
Achicoria|V002|
Ají en conserva|V081|
Ají Locoto|V077|
Ají rojo / morrón rojo|V003|
Ají verde o amarillo / morrón verde o amarillo|V004|
Ajo|V065|
Albahaca|V071|
Alcaparras, encurtido|V069|
Alcaucil|V005|
Apio|V006|
Arveja, congelada|V051|
Arveja, enlatada|V008|
Arveja, fresca|V007|
Berenjena|V010|
Berro|V011|
Brócoli|V012|
Brotes de soja|V013|
Brotes de tacuara (bambú) en escabeche|V075|
Caldo de verduras colado|V082|
Cebolla|V014|
Cebolla de verdeo|V052|
Champignones, enlatados|V074|
Champignones, frescos|V076|
Chaucha, congelada|V053|
Chaucha, fresca|V016|
Chuchu o chayote|V078|
Coliflor|V015|
Escarola|V020|
Espárrago|V021|
Espinaca|V022|
Habas|V023|
Hakusai o col china|V054|
Hinojo|V024|
Hojas de parra|V083|
Hongos, enlatados|V026|
Hongos, frescos|V025|
Hongos, secos|V080|
Jardinera, congelada|V055|
Jardinera, enlatada|V056|
Jengibre|V066|
Kale|V057|
Lechuga|V027|
Mandioca|V028|
Medallones de verdura congelados industrializados|V072|
Palmitos, enlatados|V029|
Pepino|V031|
Perejil|V067|
Pickles, en vinagre|V070|
Prefritos congelados, croquetas de vegetales (espinaca, brócoli)|V062|
Prefritos congelados, milanesas de vegetales (4 vegetales, espinaca)|V063|
Prefritos congelados, patitas de vegetales (espinaca)|V064|
Puerro|V032|
Rabanito|V033|
Radicheta|V034|
Remolacha|V035|
Repollito de Bruselas|V036|
Repollo|V037|
Rúcula|V058|
Tomate|V038|
Tomate, desecado|V068|
Tomate, enlatado|V039|
Tomate, puré de tomate|V060|
Tomate cherry|V059|
Verdolaga|V079|
Zanahoria|V040|
Zapallito|V041|
Zapallo|V042|
Zapallo / calabaza, puré instantáneo (polvo)*|V084|
Zucchini|V061|
Aceituna negra|F050|
Aceituna verde|F001|
Alimento a base de coco (leche de coco, industrializada)|F069|
Acerola|F044|
Ananá|F003|
Ananá, enlatado (fruta y almíbar)|F004|
Ananá glaseado|F071|
Arándanos|F060|
Banana|F006|
Banana deshidratada|F067|
Cayota o Alcayota|F045|
Cereza|F007|
Ciruela pasa / ciruela seca|F009|
Ciruela|F008|
Coco fresco|F046|
Coco, leche|F066|
Coco rallado|F051|
Coctail de frutas, enlatado (fruta y almíbar)|F052|
Damasco|F010|
Dátiles|F061|
Durazno, enlatado light (fruta y almíbar)|F013|
Durazno, enlatado (fruta y almíbar)|F012|
Durazno|F011|
Durazno orejón|F014|
Frambuesa|F064|
Frutas abrillantadas|F065|
Frutilla|F015|
Granada|F016|
Guabirova|F053|
Guayaba|F017|
Higo desecado|F054|
Higo|F018|
Kaki|F019|
Kinoto|F020|
Kiwi|F021|
Limón|F022|
Limón, ralladura|F059|
Mamón|F023|
Mandarina|F024|
Mango|F025|
Manzana con piel|F027|
Manzana sin piel|F028|
Maracuyá|F070|
Melón|F029|
Membrillo|F030|
Mora|F055|
Naranja|F031|
Naranja, ralladura|F062|
Níspero|F032|
Palta|F034|
Papaya|F063|
Pera|F036|
Pera, enlatada (fruta y almíbar)|F037|
Pera, enlatada light (fruta y almíbar)|F038|
Pera orejón|F039|
Pitanga|F056|
Pomelo|F041|
Puré de frutas envasado (alimento infantil)|F057|
Sandía|F042|
Tuna|F058|
Uva|F043|
Uva pasa|F035|
Almidón de maíz|A001|
Almidón de mandioca|A193|
Amaranto|A002|
Anchi|A101|
Arroz blanco|A003|
Arroz inflado azucarado|A191|Golosinas
Arroz integral|A004|
Arroz yamaní|A102|
Arroz envasado deshidratado listo para preparar con salsa u otros ingredientes (tipo cuatro quesos, primavera, etc.)|A103|
Arroz a la portuguesa (envasado, fortificado con vitaminas y minerales)|A255|
Arroz a la valenciana (envasado, fortificado con vitaminas y minerales)|A257|
Arveja, semilla seca entera / partida|A006|
Avena, arrollada|A005|
Avena, almohaditas|A104|
Barra crocante de arroz|A105|Golosinas
Barra de cereal fortificada|A106|Golosinas
Barra de cereal light|A107|Golosinas
Barra de cereales, PROMEDIO|A008|Golosinas
Batata|A073|
Bizcochitos de grasa envasados|A108|Galletitas
Bizcochitos de grasa envasados light|A109|Galletitas
Bizcochitos de arroz envasados (tipo galletita)|A110|Galletitas
Bizcochos de grasa (panadería) / Criollitos, Libritos (pan con grasa)|A009|Galletitas
Bizcochos tipo Bay Biscuit|A010|Galletitas
Bizcochuelo preparado (panadería)|A229|Pasteleria
Bizcochuelo preparado a partir de polvo premezcla|A111|Pasteleria
